<titre>|<auteurs>|<editeur>|<annee/copyright>|<isbn-10>|<isbn-13>|<lang>|<cote>
13m28|(nombreux auteurs)|manolosanctis|||9782359760057|fr|
28 Jours Plus Tard (01) Selena|Nelson, Shalvey|Delcourt|||9782756021522|fr|
28 Jours Plus Tard (02) Clint|Nelson, Shalvey|Delcourt|||9782756023540|fr|
28 Jours Plus Tard (03) Derrick|Nelson, Shalvey, Aragon|Delcourt|||9782756025018|fr|
28 Jours Plus Tard (04) Capitaine Stiles|Nelson, Aragon, Salas|Delcourt|2011||9782756025582|fr|
28 Jours Plus Tard (05) Au bout du chemin|Nelson, Aragon, Peppino|Delcourt|2012||9782756028569|fr|
Aâma (01) L'odeur de la poussière chaude|Frederik Peeters|Gallimard|2011||9782070638109|fr|
Aberzen (1) Commencer par mourir|N'Guessan, Gibelin|Soleil|||9782845655201|fr|
Attaques Répertoriées|Max Brooks, Ibraim Roberson|Calmann-Lévy|||9782702140888|fr|
Asterios Polyp|David Mazzucchelli|Pantheon|2009||9780307377326|en|
Bill Baroud|Manu Larcenet|Fluide Glacial|||9782858153107|fr|
Blacksad - T1 Quelque part entre les ombres|Diaz Canales, Guarnido|Dargaud|||9782205049657|fr|
Blacksad - T2 Arctic-Nation|Diaz Canales, Guarnido|Dargaud|||9782205051995|fr|
Blacksad - T3 Âme Rouge|Diaz Canales, Guarnido|Dargaud|||9782205055641|fr|
Blacksad - T4 L'Enfer, le silence|Diaz Canales, Guarnido|Dargaud|||9782205063134|fr|
Blast - T1 Grasse Carcasse|Manu Larcenet|Dargaud|2009||9782205063974|fr|
Blast - T2 L'apocalypse selon Saint Jacky|Manu Larcenet|Dargaud|2011||9782205067590|fr|
Blast - T3 La tête la première|Manu Larcenet|Dargaud|2012||9782205071047|fr|
Blue Space (1)|Marazano, Lamquet|Glénat|||9782723470797|fr|
Boule et Bill (09) une vie de chien !|Roba|Dupuis||2800103140||fr|
Boule et Bill (20) Strip-Cocker|Roba|Dupuis|1984|2800110279|5410983202004|fr|
Boule et Bill (23) 'Faut rigoler|Roba|Dargaud|||9782871290636|fr|
Brit (1) Baroudeur|Kirkman, Moore, Rathburn|Delcourt|2011||9782756027043|fr|
Calvin et Hobbes (01) Adieu monde cruel !|Bill Watterson|Hors Collection|||9782258034310|fr|
Calvin et Hobbes (02) En avant tête de thon !|Bill Watterson|Hors Collection|||9782258034389|fr|
Calvin et Hobbes (03) On est fats comme des rats !|Bill Watterson|Hors Collection|||9782258034860|fr|
Calvin et Hobbes (04) Debout, tas de nouilles|Bill Watterson|Hors Collection|||9782258034877|fr|
Calvin et Hobbes (05) Fini de rire !|Bill Watterson|Hors Collection|||9782258036413|fr|
Calvin et Hobbes (06) Allez, on se tire !|Bill Watterson|Hors Collection|||9782258038394|fr|
Calvin et Hobbes (07) Que fait la police ?|Bill Watterson|Hors Collection|||9782258036429|fr|
Calvin et Hobbes (08) Elle est pas belle, la vie ?|Bill Watterson|Hors Collection|||9782258034329|fr|
Calvin et Hobbes (09) On n'arrête pas le progrès !|Bill Watterson|Hors Collection|||9782258000254|fr|
Calvin et Hobbes (10) Tous aux abris !|Bill Watterson|Hors Collection|||9782258039414|fr|
Calvin et Hobbes (11) Chou bi dou wouah !|Bill Watterson|Hors Collection|||9782258039421|fr|
CFSL.NET Café Salé Artbook (01) (dédicacé)|(nombreux auteurs)|Ankama Editions|||9782916739076|fr|
CFSL.NET Café Salé Artbook (02)|(nombreux auteurs)|Ankama Editions|||9782916739410|fr|
CFSL.NET Café Salé Artbook (03)|(nombreux auteurs)|Ankama Editions|||9782916739724|fr|
CFSL.NET Café Salé Artbook (04)|(nombreux auteurs)|Ankama Editions|||9782359470086|fr|
CFSL.NET Café Salé Artbook (05)|(nombreux auteurs)|Ankama Editions|||9782359470154|fr|
CFSL.NET Café Salé Artbook (06)|(nombreux auteurs)|Ankama Editions|2012||9782359470307|fr|
Colorisation de BD|Stéphane Baril & Naïts|Eyrolles|||9782212115086|fr|
Croisade - T1 Simoun Dja|Dufaux, Xavier|Le Lombard|||9782803623136|fr|
